+1631736989.6706269,22.8623046875
1631736990.7966716,22.8572265625
1631736991.9228165,22.8521484375
1631736993.0508044,22.8673828125
1631736994.1770468,22.8572265625
1631736995.3043528,22.8673828125
1631736996.4312837,22.8673828125
1631736997.5602276,22.8775390625
1631736998.6866925,22.8673828125
1631736999.8134906,22.8673828125
1631737000.9401102,22.8724609375
1631737002.0670617,22.8775390625
1631737003.1937175,22.8826171875
1631737004.32093,22.8724609375
1631737005.4477077,22.8673828125
1631737006.5764196,22.887890625
1631737007.7029455,22.8826171875
1631737008.8313153,22.89296875
1631737009.957889,22.887890625
