Time,PM 1.0,Unc 1.0,PM 2.5,Unc 2.5,PM 10,Unc. 10
1635567326.999887,9.0,0.0,12.0,0.0,14.4,0.48989794855663565
1635567332.294738,9.0,0.0,12.0,0.0,15.0,0.0
1635567337.587871,9.0,0.0,12.0,0.0,15.0,0.0
1635567342.870709,9.0,0.0,12.8,0.4,15.0,0.0
1635567348.152396,9.0,0.0,12.0,0.0,14.6,0.48989794855663565
1635567353.415566,9.0,0.0,12.0,0.0,15.4,0.48989794855663565
1635567358.667127,9.0,0.0,12.0,0.0,15.0,0.0
1635567363.954346,9.0,0.0,12.0,0.0,15.0,0.0
1635567369.220356,9.0,0.0,12.0,0.0,14.2,0.39999999999999997
1635567374.452707,9.0,0.0,12.0,0.0,14.0,0.0
1635567379.735132,9.0,0.0,12.0,0.0,14.0,0.0
1635567384.998502,9.0,0.0,12.0,0.0,14.0,0.0
1635567390.254048,8.6,0.48989794855663565,11.6,0.48989794855663565,14.0,0.0
1635567395.522595,8.0,0.0,11.0,0.0,14.0,0.0
1635567400.814796,8.2,0.4,11.2,0.4,14.2,0.4
1635567406.068954,8.2,0.39999999999999997,11.2,0.39999999999999997,14.2,0.39999999999999997
1635567411.301433,8.0,0.0,11.0,0.0,13.0,0.0
1635567416.578172,8.0,0.0,11.0,0.0,13.0,0.0
1635567421.843848,8.0,0.0,11.0,0.0,13.0,0.0
1635567427.126641,8.0,0.0,11.0,0.0,13.0,0.0
1635567432.380419,8.0,0.0,11.0,0.0,12.2,0.39999999999999997
1635567437.664987,8.0,0.0,11.0,0.0,12.0,0.0
1635567443.049582,8.0,0.0,11.0,0.0,12.6,0.48989794855663565
1635567448.342939,8.0,0.0,11.0,0.0,13.0,0.0
1635567453.579758,8.0,0.0,11.0,0.0,13.0,0.0
1635567458.86027,8.4,0.48989794855663565,11.4,0.48989794855663565,13.0,0.0
1635567464.133657,9.0,0.0,12.8,0.39999999999999997,14.0,0.0
1635567469.391439,9.0,0.0,13.0,0.0,14.0,0.0
1635567474.671433,9.0,0.0,13.0,0.0,14.0,0.0
1635567479.963392,9.0,0.0,13.0,0.0,14.0,0.0
1635567485.254015,9.0,0.0,12.6,0.48989794855663565,13.8,0.4
1635567490.597076,8.0,0.6324555320336759,11.2,0.39999999999999997,11.2,0.39999999999999997
