Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1635559437.9512324,0,0,3.0,26.2
1635559446.505984,0,0,3.0,22.2
1635559455.0349424,0,0,3.0,23.4
1635559463.672018,0,0,3.0,36.8
1635559471.5657895,0,0,3.0,32.8
1635559479.5378666,0,0,3.0,30.4
1635559487.8314185,0,0,3.0,28.0
1635559496.3052332,0,0,3.0,35.2
1635559505.0431366,0,0,3.0,30.0
1635559513.7473633,0,0,2.0,21.6
1635559522.6318853,0,0,2.0,28.0
1635559531.1234581,0,0,2.0,29.6
1635559539.9230323,0,0,2.0,27.6
1635559548.8708785,0,0,2.0,32.4
1635559557.8177354,0,0,2.0,27.4
1635559566.676864,0,0,2.5,27.8
1635559575.4958305,0,0,3.0,31.2
1635559584.639904,0,0,4.0,29.8
1635559593.6521444,0,0,4.0,26.8
1635559602.74045,0,0,4.5,24.8
1635559611.7077713,0,0,5.0,28.2
1635559620.7529287,0,0,5.0,24.6
1635559629.500039,0,0,6.0,29.2
1635559638.607278,0,0,4.0,26.8
1635559648.0155935,0,0,3.0,28.6
1635559657.6398468,0,0,2.0,28.8
1635559666.9189198,0,0,2.0,24.2
1635559675.8468292,0,0,2.0,19.8
1635559684.9885883,0,0,2.0,29.4
1635559694.2626085,0,0,3.0,22.6
1635559704.0087757,0,0,3.0,21.0
1635559713.5855513,0,0,3.0,26.4
1635559722.972232,0,0,3.0,25.4
1635559732.569779,0,0,3.0,27.4
1635559742.2268727,0,0,3.0,34.8
1635559752.0406053,0,0,3.0,29.6
1635559760.7525177,0,0,3.0,27.2
1635559770.6733959,0,0,3.0,29.8
1635559780.4963474,0,0,3.0,27.2
1635559790.078114,0,0,3.0,27.8
1635559800.2063875,0,0,3.0,27.6
1635559809.7750235,0,0,3.0,27.6
1635559819.378567,0,0,3.0,29.2
1635559829.4220893,0,0,3.0,25.2
1635559839.2551594,0,0,3.0,27.0
1635559849.1075637,0,0,3.0,26.0
1635559858.8351932,0,0,3.0,32.6
1635559868.7158122,0,0,3.0,28.8
1635559878.889635,0,0,3.0,27.0
1635559888.7601147,0,0,3.0,25.8
1635559899.0520768,0,0,4.0,24.4
1635559908.7394354,0,0,3.5,25.6
1635559919.0476143,0,0,3.5,23.4
1635559929.7489502,0,0,4.0,31.4
1635559939.6271417,0,0,4.0,31.0
1635559950.000769,0,0,4.0,26.6
1635559960.0752828,0,0,4.0,30.0
