Time,PM_1,PM_2_5,PM_10,Temperature,Humidity,Pressure
1631744534.2051146,0,1,2,21.912109375,47.30718418477526,1003.1853982493141
1631744535.334874,0,1,2,21.9171875,47.289616123437774,1003.1803647511911
1631744536.463176,0,1,2,21.92734375,47.047485625532836,1003.1803767280398
1631744537.5869021,0,1,2,21.912109375,47.23066476136466,1003.2018411908425
1631744538.7136915,0,1,2,21.9171875,47.277883254425696,1003.1753312536931
1631744539.8407621,0,1,2,21.9171875,47.2896877752508,1003.1937874142411
1631744540.9676266,0,1,2,21.912109375,47.20691653189104,1003.1884186373203
1631744542.0996578,0,1,2,21.912109375,47.14789345796549,1003.1615615009614
1631744543.2302732,0,1,2,21.912109375,47.330861652863135,1003.2189672069122
1631744544.3575578,0,1,2,21.90703125,47.3131554835855,1003.1733061327353
1631744545.4865205,0,1,2,21.90703125,47.31898819354887,1003.1699383067088
1631744546.6145546,0,1,2,21.9171875,47.30135131951605,1003.1954773458322
1631744547.7413967,0,1,2,21.912109375,47.242329884556554,1003.1867408184424
1631744548.8686059,0,1,2,21.912109375,47.372175689320464,1003.2135859288204
1631744549.9964926,0,1,2,21.90703125,47.28940906439064,1003.2202972091926
1631744551.1247497,0,1,2,21.901953125,47.31301689426495,1003.1934397951212
1631744552.247106,0,1,2,21.90703125,47.33676368880194,1003.2219625006188
1631744553.3762689,0,1,2,21.90703125,47.265801070627234,1003.1648926510981
1631744554.5030196,0,1,2,21.896875,47.35439997403041,1003.174959316894
1631744555.6335452,0,1,2,21.896875,47.34842833178433,1003.1632148737085
1631744556.7624876,0,1,2,21.8916015625,47.33065314617069,1003.1531359164345
1631744557.8938596,0,1,2,21.8865234375,47.25392837560656,1003.1548136799023
1631744559.0224326,0,1,2,21.8865234375,47.442786235481144,1003.1682357901439
1631744560.1588905,0,1,2,21.8916015625,47.63163360669306,1003.1867037634823
