Time,PM 1.0,Unc 1.0,PM 2.5,Unc 2.5,PM 10,Unc. 10
1635566161.448938,9.0,0.0,12.0,0.0,15.0,0.0
1635566166.682782,9.0,0.0,13.0,0.0,15.0,0.0
1635566172.074519,9.0,0.0,12.4,0.48989794855663565,14.2,0.39999999999999997
1635566177.738833,8.4,0.48989794855663565,11.4,0.48989794855663565,12.6,0.48989794855663565
1635566183.381684,8.6,0.8,11.4,0.48989794855663565,12.0,0.6324555320336759
1635566189.14473,10.0,0.0,12.0,0.0,13.6,0.48989794855663565
1635566194.381118,10.0,0.0,12.4,0.48989794855663565,14.6,0.48989794855663565
1635566200.013026,10.0,0.0,13.0,0.0,15.0,0.0
1635566205.721312,10.4,0.48989794855663565,13.4,0.48989794855663565,15.0,0.0
1635566211.465234,11.0,0.0,14.0,0.0,15.4,0.48989794855663565
1635566217.089646,11.0,0.0,14.6,0.48989794855663565,16.8,0.39999999999999997
1635566222.864233,11.0,0.0,14.4,0.48989794855663565,17.0,0.0
1635566228.095462,11.0,0.0,14.0,0.0,17.0,0.0
1635566233.72361,11.0,0.0,14.0,0.0,17.0,0.0
1635566239.441068,10.4,0.48989794855663565,13.4,0.48989794855663565,16.4,0.4898979485566356
1635566245.214513,9.6,0.48989794855663565,13.6,0.48989794855663565,16.0,0.0
1635566250.790017,10.2,0.4,14.0,0.0,16.0,0.0
1635566256.53214,10.2,0.39999999999999997,14.0,0.0,16.0,0.0
1635566261.84622,9.0,0.0,13.0,0.0,16.0,0.0
1635566267.447849,9.0,0.0,13.0,0.0,16.0,0.0
1635566273.055729,9.0,0.0,13.0,0.0,16.0,0.0
1635566278.725974,9.0,0.0,13.0,0.0,16.0,0.0
1635566284.421386,9.0,0.0,12.6,0.48989794855663565,16.4,0.4898979485566356
1635566290.115877,9.0,0.0,12.0,0.0,16.0,0.0
1635566295.459742,9.0,0.0,12.0,0.0,16.0,0.0
1635566301.127198,9.0,0.0,12.0,0.0,16.0,0.0
1635566306.671997,9.0,0.0,12.0,0.0,16.0,0.0
1635566312.459022,9.0,0.0,12.8,0.39999999999999997,16.0,0.0
1635566317.715393,9.0,0.0,12.8,0.4,16.0,0.0
1635566322.993611,9.0,0.0,12.0,0.0,16.0,0.0
1635566328.255585,9.0,0.0,12.4,0.48989794855663565,16.0,0.0
1635566333.547095,9.0,0.0,13.0,0.0,16.0,0.0
1635566338.876141,9.0,0.0,13.0,0.0,16.0,0.0
1635566344.264331,9.0,0.0,13.0,0.0,16.0,0.0
1635566349.681728,9.0,0.0,12.4,0.48989794855663565,15.8,0.4
1635566354.916215,9.0,0.0,13.0,0.0,15.0,0.0
1635566360.181676,9.0,0.0,12.8,0.4,15.0,0.0
1635566365.474245,9.0,0.0,12.0,0.0,15.4,0.48989794855663565
1635566370.793985,9.0,0.0,12.0,0.0,15.4,0.48989794855663565
1635566376.207915,9.0,0.0,12.2,0.4,15.0,0.0
1635566381.499649,9.0,0.0,13.0,0.0,15.0,0.0
1635566386.806692,9.0,0.0,12.8,0.4,15.0,0.0
1635566392.188975,9.0,0.0,12.0,0.0,15.0,0.0
1635566397.460202,9.0,0.0,12.0,0.0,15.0,0.0
1635566402.881326,9.0,0.0,13.0,0.0,15.8,0.39999999999999997
1635566408.27509,9.0,0.0,13.0,0.0,16.4,0.4898979485566356
1635566413.691269,10.6,0.48989794855663565,14.2,0.39999999999999997,17.4,0.4898979485566356
1635566418.971996,9.8,0.9797958971132713,13.4,0.48989794855663565,15.0,1.4142135623730951
1635566424.339187,9.0,0.0,12.8,0.39999999999999997,12.8,0.39999999999999997
1635566429.665668,9.0,0.0,13.0,0.0,13.8,0.7483314773547883
1635566435.130279,9.0,0.0,13.0,0.0,15.0,0.0
1635566440.538925,9.6,0.48989794855663565,13.6,0.48989794855663565,15.4,0.48989794855663565
1635566445.924946,9.4,0.48989794855663565,13.4,0.48989794855663565,15.4,0.48989794855663565
1635566451.176993,9.0,0.0,13.0,0.0,15.4,0.48989794855663565
1635566456.418583,9.0,0.0,13.0,0.0,15.0,0.0
1635566461.772061,9.0,0.0,13.0,0.0,15.0,0.0
1635566467.099592,9.0,0.0,13.0,0.0,15.0,0.0
1635566472.378569,9.0,0.0,13.0,0.0,14.8,0.4
1635566477.689038,9.0,0.0,13.0,0.0,14.0,0.0
1635566483.02982,8.6,0.48989794855663565,11.6,0.48989794855663565,13.2,0.39999999999999997
1635566488.441297,8.8,0.39999999999999997,11.8,0.39999999999999997,13.4,0.48989794855663565
1635566493.841525,9.0,0.0,12.0,0.0,14.0,0.0
1635566499.137017,9.0,0.0,12.0,0.0,14.0,0.0
1635566504.424222,9.0,0.0,12.0,0.0,14.0,0.0
1635566509.711679,9.0,0.0,12.0,0.0,15.0,0.0
1635566514.987367,9.0,0.0,12.0,0.0,15.0,0.0
1635566520.403738,9.0,0.0,12.2,0.4,15.0,0.0
1635566525.811821,9.0,0.0,13.0,0.0,15.0,0.0
1635566531.202349,9.0,0.0,13.0,0.0,14.8,0.4
1635566536.600266,9.0,0.0,13.0,0.0,14.0,0.0
1635566541.873783,9.0,0.0,12.4,0.48989794855663565,14.0,0.0
1635566547.258081,9.0,0.0,12.0,0.0,14.0,0.0
1635566552.649073,9.0,0.0,12.0,0.0,14.0,0.0
1635566558.040065,9.0,0.0,12.6,0.48989794855663565,15.0,0.8944271909999159
1635566563.460307,9.0,0.0,13.0,0.0,16.0,0.0
1635566568.805818,9.0,0.0,12.2,0.39999999999999997,15.8,0.4
1635566574.050371,9.0,0.0,12.0,0.0,15.0,0.0
1635566579.428449,9.0,0.0,12.0,0.0,15.0,0.0
1635566584.868227,9.0,0.0,12.0,0.0,15.0,0.0
1635566590.222558,9.0,0.0,12.0,0.0,15.0,0.0
1635566595.562677,9.0,0.0,12.0,0.0,15.0,0.0
1635566600.798163,9.0,0.0,12.0,0.0,15.0,0.0
1635566606.048755,9.0,0.0,12.0,0.0,14.8,0.4
1635566611.453589,9.0,0.0,12.0,0.0,14.0,0.0
1635566616.756198,9.0,0.0,12.0,0.0,14.0,0.0
1635566622.034048,9.0,0.0,12.0,0.0,14.0,0.0
1635566627.298786,9.0,0.0,12.0,0.0,14.2,0.39999999999999997
1635566632.541087,9.0,0.0,12.0,0.0,14.2,0.4
1635566637.787562,9.0,0.0,12.0,0.0,15.0,0.0
1635566643.079075,9.0,0.0,12.8,0.39999999999999997,15.0,0.0
1635566648.35915,9.0,0.0,12.6,0.48989794855663565,15.0,0.0
1635566653.636199,9.0,0.0,12.0,0.0,15.0,0.0
1635566658.879798,9.0,0.0,12.0,0.0,14.0,0.0
1635566664.134658,9.0,0.0,12.0,0.0,15.0,0.0
1635566669.384649,9.0,0.0,12.0,0.0,15.0,0.0
1635566674.686741,9.0,0.0,12.0,0.0,15.0,0.0
1635566680.015045,9.0,0.0,12.0,0.0,15.0,0.0
1635566685.33103,9.0,0.0,12.0,0.0,15.0,0.0
1635566690.579993,9.0,0.0,12.0,0.0,15.0,0.0
1635566695.865469,8.8,0.4,11.8,0.4,14.6,0.48989794855663565
1635566701.149826,8.0,0.0,11.0,0.0,14.0,0.0
1635566706.512868,8.0,0.0,11.0,0.0,14.0,0.0
1635566711.793851,9.8,0.39999999999999997,12.0,0.0,14.8,0.4
1635566717.040694,8.0,0.0,11.0,0.0,14.2,0.4
1635566722.305726,8.8,0.39999999999999997,11.8,0.39999999999999997,15.0,0.0
1635566727.553656,8.2,0.39999999999999997,11.2,0.39999999999999997,15.0,0.0
1635566732.805585,8.0,0.0,11.0,0.0,14.0,0.0
1635566738.058207,8.0,0.0,11.0,0.0,14.0,0.0
1635566743.418884,8.0,0.0,11.0,0.0,14.0,0.0
1635566748.797309,8.4,0.48989794855663565,11.4,0.48989794855663565,14.0,0.0
