Time,PM_1,PM_2_5,PM_10,Temperature,Humidity,Pressure
1631747047.39227,1,3,4,22.2798828125,43.95542763382513,1002.8907172045966
1631747048.5183365,1,3,4,22.2798828125,44.097364631440236,1002.8521048518077
1631747049.644835,1,3,4,22.2849609375,44.091452010729554,1002.8571394803573
1631747050.7710402,1,3,4,22.2849609375,44.06192006848877,1002.8655385728266
1631747051.8979228,1,3,4,22.2798828125,44.121047002235926,1002.8655400836919
1631747053.0247736,1,3,4,22.2849609375,44.10334080708838,1002.8403532734765
1631747054.1516323,1,3,4,22.2849609375,44.06780142527917,1002.9041515597257
1631747055.280423,1,3,4,22.2900390625,44.0855393797581,1002.8655369553337
1631747056.4084063,1,3,4,22.2900390625,44.07371408703291,1002.8806444133667
1631747057.5365872,1,3,4,22.2798828125,44.0855393797581,1002.8487488467013
1631747058.6634972,1,3,4,22.2849609375,44.156555054981695,1002.8873633000329
1631747059.794671,1,3,5,22.2849609375,44.026474314997294,1002.8672189219515
1631747060.921672,1,3,5,22.2798828125,44.00276146877762,1002.8705765986789
1631747062.0485177,1,3,5,22.2953125,44.168315279628914,1002.8386759848588
1631747063.1752765,1,3,5,22.2849609375,44.02049976186175,1002.8974380225114
1631747064.3046207,1,3,5,22.2953125,43.97911026768142,1002.8621837846023
1631747065.432374,1,3,5,22.2953125,43.9910578435506,1002.8890438256517
1631747066.558729,1,3,5,22.2953125,44.07968976345485,1002.8873649864884
1631747067.685686,1,3,5,22.2900390625,44.06783280803797,1002.8605005220138
1631747068.8130066,1,3,5,22.2849609375,44.00870495080097,1002.8806479981025
1631747069.9398196,1,3,5,22.2953125,43.81360420956851,1002.8772903475545
1631747071.0665858,1,3,5,22.2849609375,44.026474314997294,1002.8655369553337
1631747072.193293,1,3,5,22.2849609375,44.002729639104096,1002.8772886355132
1631747073.3206778,1,3,5,22.2849609375,43.94957606746415,1002.8907209514152
1631747074.4483106,1,3,5,22.2953125,43.98502308334661,1002.8756115223848
1631747075.5751767,1,3,5,22.2849609375,44.06185622225601,1002.8521064678715
1631747076.7019498,1,3,5,22.2748046875,43.99681692435605,1002.8823212459215
1631747077.8295076,1,3,5,22.2697265625,43.937659293740296,1002.8907151712524
1631747078.9563034,1,3,5,22.2697265625,44.08544334304392,1002.9108605991382
1631747080.0842972,1,3,5,22.2748046875,44.091387454302605,1002.8887113350703
1631747081.2111742,1,3,4,22.2697265625,44.07953090701106,1002.8823212459215
1631747082.3398972,1,3,4,22.2697265625,44.049999785690964,1002.8786387095372
1631747083.4675117,1,3,4,22.2646484375,44.12686219867574,1002.8568127181867
1631747084.5947874,1,3,4,22.2697265625,44.09726818432948,1002.8957515272854
1631747085.7213593,1,3,4,22.2595703125,44.197678910746546,1002.8786342958489
1631747086.85197,1,3,4,22.254296875,44.1089972559622,1002.8685571568442
1631747087.9785988,1,3,4,22.24921875,44.1563268862943,1002.8534487132353
1631747089.1055503,1,3,4,22.244140625,44.091195959547576,1002.8484077862933
1631747090.2324855,1,3,4,22.244140625,44.126571758622106,1002.8531156387909
1631747091.3616445,1,3,4,22.244140625,44.15028382480264,1002.8534438518712
1631747092.488767,1,3,4,22.233984375,44.49899582367053,1002.8870176383805
1631747093.6158147,1,3,4,22.244140625,44.81239341911485,1002.8702333607014
1631747094.74205,1,3,4,22.244140625,44.906883220700266,1002.8668733631383
1631747095.8686156,1,3,4,22.233984375,44.581788574039024,1002.9101901558306
1631747096.9946856,1,3,4,22.233984375,44.351248111850474,1002.9185834739376
1631747098.1209729,1,3,4,22.2185546875,44.469403741532155,1002.8816467108747
1631747099.2475953,1,3,4,22.233984375,44.55219593788904,1002.898442576769
1631747100.3762345,1,3,4,22.233984375,44.35705513706275,1002.9001181763962
